goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Jit/rule014-16         	15060318	         7.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15312552	         7.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15263452	         7.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	14997032	         7.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15186589	         7.865 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15177385	         7.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15486786	         7.876 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15014074	         7.831 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	14715950	         7.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15278270	         7.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15177145	         7.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	12263930	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	12088802	         9.861 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11704461	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11274220	         9.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11751024	        10.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11545168	         9.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11876582	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11837286	        10.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15604934	         7.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15584245	         7.753 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15273733	         7.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15225928	         7.662 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15829479	         7.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15350010	         7.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15350829	         7.744 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15373857	         7.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11791389	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12121824	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11757453	        10.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12220218	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12066262	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12111628	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11979583	        11.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11971368	        10.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 7839507	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8311879	        14.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8020183	        14.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8644442	        14.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 7847389	        14.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8455342	        14.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8297319	        14.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8429925	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13477150	         8.961 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13452349	         8.851 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13531353	         8.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13277640	         9.089 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13675407	         8.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13322230	         8.854 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13569543	         8.854 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13550071	         8.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19807562	         6.288 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19673072	         6.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	18953354	         6.272 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19692171	         6.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19226917	         6.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19379584	         6.356 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19113352	         6.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-16         	19357569	         6.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19702951	         6.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19236163	         6.357 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	18926820	         6.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19444483	         6.278 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19706186	         6.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19612514	         6.578 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19129348	         6.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-16         	19678986	         6.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19420093	         6.312 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19603038	         6.619 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19283950	         6.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19754984	         6.366 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19745503	         6.351 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19005134	         6.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19798166	         6.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-16         	19199870	         6.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	19276333	         6.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	19248891	         6.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	18729271	         6.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	19019569	         6.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	19266019	         6.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	19251594	         6.295 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	18842001	         6.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-16         	17863346	         6.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	19273495	         6.327 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	19188870	         6.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	18667236	         6.271 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	19231154	         6.343 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	18470536	         6.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	18842862	         6.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	18959091	         6.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-16         	18906072	         6.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	18946120	         6.326 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	19116398	         6.551 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	18853843	         6.481 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	19036791	         6.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	18983961	         6.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	19246446	         6.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	18482389	         6.389 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule026-16         	18748411	         6.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18441558	         6.732 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18137847	         6.896 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18885615	         6.748 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	19296612	         6.642 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18820452	         6.701 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18081138	         6.653 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18618361	         6.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule027-16         	18659132	         6.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18248868	         6.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18918120	         6.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18502576	         6.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18532818	         6.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	19280592	         6.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18723789	         6.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	18987840	         6.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule028-16         	19258159	         6.365 ns/op	       0 B/op	       0 allocs/op
