goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule013-18         	 9967506	        13.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 8986761	        12.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	10465066	        11.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 9908694	        11.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 9868830	        12.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 9935865	        12.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 9352959	        11.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	10177774	        11.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-18         	 9513211	        12.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	11402796	        10.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	11092520	        11.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	10195849	        11.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	10176046	        11.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	10368128	        11.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	 9981492	        12.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	10163110	        11.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-18         	10130328	        11.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6706647	        17.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6827312	        17.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6160779	        17.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6813531	        15.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6203202	        17.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6593188	        17.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-18         	 6788653	        17.31 ns/op	       0 B/op	       0 allocs/op
