goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule012-18         	  498464	       264.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  555061	       260.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  502507	       274.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  557640	       259.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  509787	       258.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  541294	       259.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  507972	       240.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  528980	       240.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  577813	       244.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  516528	       243.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  480523	       235.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  441004	       246.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  501366	       258.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-18         	  579638	       242.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  565947	       243.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  455192	       248.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  551673	       242.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  573662	       226.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  561360	       240.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  544416	       246.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  500367	       235.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-18         	  581522	       239.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  526803	       241.3 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  411842	       245.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  574764	       234.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  574735	       267.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  488922	       234.2 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  447652	       246.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  449247	       269.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-18         	  599666	       234.8 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  210674	       541.0 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  226158	       492.1 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  223518	       560.6 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  224973	       522.2 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  222415	       535.3 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  187530	       534.7 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  238496	       535.9 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-18         	  193916	       528.1 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  340398	       354.2 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  355681	       341.5 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  360210	       378.9 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  395024	       335.4 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  312633	       334.5 ns/op	     216 B/op	      10 allocs/op
